icd 9 codes,icd 9,intent,laterailty,procedure validation
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Surgery/Operation Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
4106,Cord blood stem cell transplant,"Not applicable, not a surgical procedure",,Personal Relation Report
554,Partial nephrectomy,Surgical procedure for treatment,Left: origin of primary,Surgery/Operation Report
64,Thyroidectomy-complete or total,"Surgical procedure, unknown intent",Not a paired organ site,Personal Relation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
,,,,
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Autopsy Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
3249,Lobectomy of lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,
9225,Chemotherapy,"Not applicable, not a surgical procedure",,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
3249,Lobectomy of lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,
9225,Chemotherapy,"Not applicable, not a surgical procedure",,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
3249,Lobectomy of lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,
9225,Chemotherapy,"Not applicable, not a surgical procedure",,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
3249,Lobectomy of lung,"Surgical procedure, for diagnosis",Right: origin of primary,Surgery/Operation Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,Surgical procedure for treatment,Right: origin of primary,Pathology Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Personal Relation Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
,,,,
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
554,Partial nephrectomy,Surgical procedure for treatment,Left: origin of primary,Surgery/Operation Report
,,,,
,,,,
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
2790,Other Operations on Mouth and Face,Surgical procedure for treatment,Not a paired organ site,Pathology Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
554,Partial nephrectomy,Surgical procedure for treatment,Left: origin of primary,Surgery/Operation Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
,,,,
,,,,
,,,,
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Radiology/Imaging Report
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8511,Closed [percutaneous][needle] biopsy of breast,"Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
554,Partial nephrectomy,Surgical procedure for treatment,Left: origin of primary,Surgery/Operation Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3249,Lobectomy of lung,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
689X,Other and unspecified hysterectomy,"Surgical procedure, unknown intent",Not a paired organ site,Self Report
3249,Lobectomy of lung,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8519,Other diagnostic procedures on breast,"Surgical procedure, for diagnosis",Left: origin of primary,Self Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,"Bilateral involvement stated to be single primary, site of origin unknown.",Pathology Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
2790,Other Operations on Mouth and Face,Surgical procedure for treatment,Not a paired organ site,Pathology Report
4106,Cord blood stem cell transplant,"Not applicable, not a surgical procedure",,Personal Relation Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
2790,Other Operations on Mouth and Face,Surgical procedure for treatment,Not a paired organ site,Pathology Report
